Артикул;Ссылка;Цена
GA-2100SKE-7AER;https://shop.casio.ru/catalog/g-shock-youth/ga-2100ske-7aer/;
DW-5600SKE-7ER;https://shop.casio.ru/catalog/g-shock/dw-5600ske-7er/;
GA-2100-1A1ER;https://shop.casio.ru/catalog/g-shock-youth/ga_2100_1a1er/;
GA-2100-1AER;https://shop.casio.ru/catalog/g-shock-youth/ga_2100_1aer/;
A1000RG-5EF;https://shop.casio.ru/catalog/vintage/a1000rg-5ef/;
A100WEPC-1BER;https://shop.casio.ru/catalog/vintage/a100wepc-1ber/;
AWM-500GC-1AJR;https://shop.casio.ru/catalog/g-shock/awm_500gc_1ajr/;
DW-5600BB-1ER;https://shop.casio.ru/catalog/g-shock/dw_5600bb_1er/;
DW-5600CA-8ER;https://shop.casio.ru/catalog/g-shock/dw-5600ca-8er/;
DW-5600DAILY21-1ER;https://shop.casio.ru/catalog/g-shock/dw-5600daily21-1er/;
DW-5600GC-7ER;https://shop.casio.ru/catalog/g-shock-youth/dw_5600gc_7er/;
DW-5610SUS-5ER;https://shop.casio.ru/catalog/g-shock/dw_5610sus_5er/;
DWE-5600CC-3ER;https://shop.casio.ru/catalog/g-shock/dwe_5600cc_3er/;
DWE-5600R-9ER;https://shop.casio.ru/catalog/g-shock/dwe_5600r_9er/;
EF-527D-2AVUEF;https://shop.casio.ru/catalog/edifice/ef_527d_2avuef/;
EF-527D-3AVUEF;https://shop.casio.ru/catalog/edifice/ef_527d_3avuef/;
EFR-552D-1AVUEF;https://shop.casio.ru/catalog/edifice/efr_552d_1avuef/;
EFR-571D-1AVUEF;https://shop.casio.ru/catalog/edifice/efr_571d_1avuef/;
EFR-S572DC-1AVUEF;https://shop.casio.ru/catalog/edifice/efr_s572dc_1avuef/;
EFS-S570DC-1AUEF;https://shop.casio.ru/catalog/edifice/efs-s570dc-1auef/;
EFS-S590AT-1AER;https://shop.casio.ru/catalog/edifice/efs_s590at_1aer/;
